purchase_id,customer_id,purchase_date,purchase_value,channel,region,payment_method,campaign_group
2551,CUST0351,30 Dec 2024,64.82,Online,East,Credit Card,
3026,CUST0406,24 Jun 2026,101.77,Online,NORTH,Debit Card,
2731,CUST0368,2025-12-04,101.9,Online,East,PayPal,
1262,CUST0175,2023-07-28,94.04,In-Store,North,Credit Card,
2132,CUST0291,13 Feb 2024,138.73, In-Store,North,Credit Card,
1796,CUST0237,30-11-2023,129.32,In-Store,North,Debit Card,
2982,CUST0398,08/17/2023,182.54,In-Store,East,Debit Card,
1531,CUST0206,24-05-2024,240.51,Online,,Credit Card,
779,CUST0113,2022-09-16,102.17,In-Store,South,Credit Card,
2471,CUST0339,22-07-2020,,Instore,South,Credit Card,
965,CUST0136,30-04-2025,47.87,In-Store,NORTH,Cash,
1706,CUST0226,03 Mar 2026,, In-Store, North,Debit Card,B
3599,CUST0479,11/26/2025,155.32,Online,East,PayPal,
2252,CUST0311,09 Mar 2025,116.8,In-Store,West,Credit Card,
3531,CUST0472,04 Jul 2023,68.68,In-Store,east,Cash,
1478,CUST0198,10/04/2025,160.67,In-Store,West,Credit Card,
1089,CUST0153,2025-04-29,, In-Store,West,Debit Card,
1538,CUST0207,21-06-2024,N/A,Online,South,Credit Card,
3506,CUST0466,30 Dec 2023,98.93,Online,NORTH,PayPal,
390,CUST0062,11 Jan 2025,46.44,ONLINE,South,Credit Card,
1886,CUST0253,2020/12/20,56.2,In-Store,South,PayPal,
3594,CUST0479,11/05/2023,79.91,In-Store,East,PayPal,
2750,CUST0370,2025-09-05,172.73,Online,West,PayPal,
1413,CUST0189,2024/06/29,162.5, Online,West,Credit Card,
2629,CUST0360,31 May 2023,131.07,Online,South,PayPal,
99,CUST0014,12 Jun 2026,136.61,In-Store,North,Credit Card,
2989,CUST0401,06/07/2026,116.1,In-Store,West,Debit Card,
1032,CUST0148,01-03-2025,118.13,IN-STORE,West,Credit Card,
435,CUST0069,N/A,221.51,In-Store,East,Credit Card,B
2221,CUST0306,22 Sep 2024,67.75, Online,WEST ,Credit Card,
271,CUST0043,03 May 2026,133.4,Online,south,Cash,
561,CUST0088,12-05-2023,118.45,In-Store,West,PayPal,
977,CUST0139,2025/06/14,102.21,In-Store,West,Credit Card,
331,CUST0052,06-10-2023,97.66,in-store,North,Credit Card,
1056,CUST0150,2024-06-07,115.16,In-Store,East,Debit Card,
1592,cust0214,2023-04-27,70.0,Online,North,PayPal,
2193,CUST0301,21-02-2024,169.07,In-Store,South,Credit Card,
343,CUST0055,30 Jul 2021,$106.65,ONLINE,South,Credit Card,
1025,CUST0147,2025-04-20,120.36,Online,East,PayPal,
2737,CUST0369,2022/09/24,28.25,In-Store,SOUTH,Credit Card,
1110,CUST0157,10/26/2024,213.19,In-Store,South,Credit Card,
2625,CUST0359,2024-10-04,152.14,Online,West,PayPal,
1221,CUST0171,2022-01-10,96.34,In-Store, North,,
2475,CUST0340,01-04-2021,64.07,Online, East,PayPal,
3242,CUST0435,28-12-2022,159.67,Online,East,PayPal,
